Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ABW,21942.26749,23554.17281,24156.0339,24978.22617,26089.47226,26084.33498,25944.40682,27511.33593,27780.23283,27966.48799,30149.4234,31421.64054,30907.00737,31205.36078,33774.5272,34254.13532,35429.17254,37366.69495,38729.56099,34393.25735,33784.53794,35513.08119,34632.95165,36830.15661,36782.22712,37314.56439,37587.06594,38893.96056,40143.00027,39834.2239,31182.83388,
AFE,1844.490238,1855.856704,1811.250525,1801.093516,1824.722058,1894.762323,1982.707063,2049.995425,2057.622403,2090.945624,2156.354867,2227.889103,2291.27304,2351.059098,2484.602531,2651.414346,2839.030318,3030.356066,3144.720473,3107.567812,3218.018629,3323.273413,3237.872226,3365.684322,3503.826534,3533.336591,3627.474284,3670.891196,3761.03516,3814.846625,3659.272868,3881.592253
AFG,,,,,,,,,,,,,876.3276427,928.1915689,925.7042261,1023.549501,1078.90737,1230.20479,1273.787555,1519.310737,1710.762928,1699.48811,1914.774228,2015.514775,2069.424022,2087.305323,1981.118069,2058.400221,2082.392197,2152.190243,2078.479082,
AFW,1729.908891,1762.536827,1800.456255,1775.549715,1763.088948,1789.84069,1857.831038,1919.59649,1957.926069,1962.879359,2025.095894,2121.94263,2297.08618,2406.429857,2596.971347,2759.133866,2915.291586,3070.680405,3233.802575,3358.517812,3532.530186,3675.392441,3772.323802,4013.196523,4208.73178,4139.323364,4069.005667,4115.64548,4231.321093,4335.409188,4241.522499,4474.9707
AGO,3263.33435,3295.730956,3071.610764,2313.92178,2318.952828,2636.525014,2952.011249,3119.365502,3197.525502,3207.394343,3271.270265,3372.470708,3765.608654,3823.350144,4208.038928,4818.776561,5344.22385,6031.482423,6584.875135,6441.035242,6588.835076,6710.750725,7412.967137,7682.475646,8179.297828,7337.569901,7103.226249,7310.896551,7148.933253,6995.299736,6478.332182,6581.042021
ALB,2549.708941,1909.29081,1823.476534,2057.661495,2290.109912,2666.042365,2980.374617,2717.644348,3021.041577,3471.661509,3860.804627,4299.546493,4661.402695,5000.049363,5427.732662,5865.301904,6566.572828,7283.342638,8228.348041,8813.029461,9628.721962,10207.76757,10526.25918,10570.96373,11259.26751,11658.90552,12078.84314,12770.96429,13498.13817,13999.42397,13632.18654,15646.04152
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARB,6758.578596,7317.502471,7716.067502,7912.418514,8103.155349,8238.083756,8571.161896,8905.950577,9303.211156,9422.509611,10065.19136,10238.03281,10209.27408,10611.83803,11637.9427,12368.22751,13170.85142,13781.0921,14478.26263,14283.97231,14784.37324,15288.34187,16184.70743,16134.05925,15870.68938,14317.76995,13863.68674,14378.78846,14821.63044,15054.80357,14269.22342,15125.10522
ARE,87131.6798,85753.93622,85531.98685,83757.77485,86613.48436,89627.85911,91844.58406,96076.76232,92528.44472,91580.88873,98253.40518,96670.45448,95476.92635,99275.69336,101901.9102,97719.1576,95781.58773,87209.37946,79808.34841,68150.43774,64889.96794,67686.39061,69102.48573,70374.23037,73619.06428,64901.85949,63968.90441,67183.60531,68568.09928,71144.71598,66766.05393,
ARG,7187.770165,7996.652087,8709.504797,9522.495174,10164.03435,9958.740324,10574.57096,11495.3562,11936.39985,11565.32947,11605.59228,11220.65623,10044.61804,11029.15507,12218.20932,13575.3709,14967.625,16590.24897,17420.68009,16330.6328,18063.91434,19322.22712,19641.35286,20131.68042,19683.77151,20105.19899,20307.87005,23597.11775,23290.67574,22997.39176,20769.03238,23627.39429
ARM,2770.889233,2553.188557,1547.378302,1478.899311,1630.564991,1816.305548,1988.413159,2113.311829,2311.097123,2436.423901,2655.323984,2994.248091,3461.274065,4045.110743,4616.180285,5458.089259,6418.636417,7560.868364,8308.414216,7231.220897,7507.144766,8025.458485,9364.375299,9835.802461,10036.88984,9969.664854,10704.22976,12115.13929,13018.87429,14230.01487,13311.02814,14630.24422
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,11581.40634,12073.41466,12279.21634,12968.79641,13830.69471,13215.81756,14039.13551,14741.04468,15289.82856,15766.85775,16823.98492,16164.36069,16354.92039,17465.16878,18723.68622,20279.55293,23205.04514,25644.83479,25715.20943,22429.75145,20613.70524,20347.86848,19598.02386,18797.62637,19039.0045,18911.30689,19920.26578,19840.28404,21519.36924,22772.30934,18240.38041,19837.65014
AUS,17367.11058,17822.47528,18214.59787,19159.52159,20094.05411,20923.5552,22008.91159,22972.48786,24210.63627,25296.26355,26343.0767,27439.82779,28768.72863,29807.40956,31407.46145,32653.40162,34369.61939,36599.85073,37499.52513,40281.79967,39336.66348,42003.15806,42836.67186,45906.44004,46880.89518,46248.61646,47255.30701,48398.5497,50169.18729,51748.39772,53316.88543,55807.44402
AUT,19461.99694,20605.85357,21281.15471,21720.51107,22629.97096,23684.62005,24553.84013,25426.71741,26675.04316,27606.48303,29376.01974,29702.79753,31178.69333,32144.24181,33773.82578,35013.71404,37662.18517,39430.60917,41316.22518,40918.13212,42009.43853,44452.73275,46457.34578,47922.04912,48799.71547,49865.90394,52684.01711,54172.98679,56960.09143,58076.3488,55685.97029,58427.49569
AZE,5253.446608,5321.810994,4149.746606,3217.651495,2603.601929,2317.590695,2366.638154,2522.628371,2779.615527,3000.925057,3381.66621,3770.852287,4159.940563,4639.794426,5159.859411,6740.424063,9243.497646,11732.84149,12969.20038,13972.59478,14678.77374,14804.57445,15957.71885,17188.94551,17443.87826,14938.40113,14371.02274,14121.40694,14549.0619,15051.56128,14478.52445,15842.88951
BDI,614.3947721,651.8148928,659.1131261,620.359421,598.9159829,554.7624638,513.4601103,508.8024246,533.4420787,528.5262407,526.4820601,537.061622,554.5104167,541.9589912,565.2032446,569.5519879,599.1439515,615.9811419,636.9394064,643.943238,663.1271908,681.9716213,690.6976916,740.9775848,777.0412415,841.5399533,796.9440834,773.5728587,779.7170375,783.1577656,771.1012372,793.2364344
BEL,18678.01029,19590.69918,20261.47811,20462.14646,21507.12136,22434.7069,22738.44887,23732.27225,24368.91369,25440.84119,27784.5715,28788.06284,30282.28865,30932.85251,32063.08032,33177.89095,35259.18671,36791.20043,37883.33194,37749.50954,39840.0882,40942.37271,42290.76205,43671.11959,44929.68559,46200.90445,48597.39998,50442.27054,52535.23222,54278.38945,53070.21482,58930.93633
BEN,1258.187518,1310.682081,1333.008135,1394.561657,1404.178009,1471.030965,1514.348262,1580.21812,1612.86843,1672.849348,1757.721011,1836.786562,1893.515263,1937.578233,2016.210145,2053.527482,2137.533893,2261.251548,2350.165251,2353.04098,2364.378796,2416.327362,2498.495773,2669.68822,2833.412753,2886.829137,3004.807805,3044.517156,3236.292065,3426.049089,3505.138455,3789.273347
BFA,589.3028822,646.9368149,645.5979922,665.4979978,670.1196604,703.6902969,773.8109229,813.901911,858.7982803,909.2783065,920.8916948,975.6197535,1004.642827,1072.853215,1117.782157,1216.164678,1292.85885,1341.374208,1403.295796,1410.772645,1502.268711,1586.571161,1619.399426,1683.105833,1692.303242,1713.520136,1895.295066,2044.386987,2168.408706,2267.320963,2273.831365,2461.942845
BGD,849.5687919,888.0188559,936.5410582,982.3787935,1020.317652,1071.93533,1116.88238,1162.349378,1210.867554,1259.54101,1330.03556,1402.348408,1452.12448,1524.346032,1620.885204,1754.727931,1903.738526,2067.677468,2208.616328,2308.982807,2439.337003,2620.83379,2937.628798,3143.585503,3368.056164,3555.50526,4610.718436,4894.563365,5321.940225,5784.269636,5995.407429,6613.013275
BGR,7547.12237,7214.513778,6916.174153,7031.17228,7336.747085,7738.843638,6846.984339,5750.439437,6177.653654,5807.811701,6421.959135,6958.978417,7786.448422,8416.983667,9201.504128,10291.43777,11408.11806,12811.35877,14335.7146,14181.15468,14956.48718,15747.08538,16327.87261,16647.0064,17616.91318,18391.92747,20074.35539,21469.94544,23016.09064,24497.62727,24564.43768,26705.43886
BHR,26846.22513,30033.04617,31937.93752,35999.19658,35783.2521,37019.07705,38231.40083,38997.35865,40061.347,40852.21879,42133.98012,42071.24668,41899.754,42875.91163,44197.88582,45422.94184,46249.75444,47590.92303,47893.28238,46487.14945,46878.08608,47377.49831,50675.62102,51494.41172,51101.97702,45575.78357,44768.97091,47709.77802,47485.6176,47224.23713,43821.12449,45411.12035
BHS,21473.1133,20881.40696,20152.55998,20309.20874,21025.00443,22059.54692,23098.83444,24817.11967,23699.24187,26647.12919,28002.34483,28940.84351,29692.43049,29373.69241,29877.88833,31276.98355,32436.07397,33158.05996,32404.39084,30721.09013,31093.98986,31522.02023,32216.6978,31856.12193,33347.17523,33855.50499,33886.11673,35911.65435,37065.53445,38063.81604,29064.7595,34107.84983
BIH,,,,,901.3862476,1142.911816,2236.91807,3081.228299,3603.660789,3995.625674,4598.155116,4791.895784,5196.529757,5461.782427,5949.360939,6479.64575,7414.019422,8196.496303,9028.85858,9028.633491,9348.26458,9976.490778,10304.02449,11016.55045,11433.19043,12010.75974,13072.16976,13753.83794,14918.48516,15711.2377,15598.43034,16846.45586
BLR,5226.139654,5335.578804,4922.457216,4645.893574,4194.881094,3849.897233,4043.749905,4601.503085,5066.942837,5337.01584,5801.75813,6244.747744,6704.592279,7369.845906,8491.894839,9647.121181,11006.45591,12332.50292,13898.99968,14050.57156,15361.83171,16563.20141,18105.28672,18994.19019,19008.06102,18095.66518,17785.9432,18356.10077,19428.00746,20092.88037,20237.55113,21698.57409
BLZ,3326.055532,3760.902094,4239.730938,4535.564027,4546.491383,4552.489869,4554.690523,4626.092247,4670.338947,4963.71122,5543.800543,5771.586376,5989.867923,6503.801255,6809.801313,6993.544845,7342.817732,7432.956663,7586.562736,7467.440621,7619.452314,7716.521078,7313.197802,7238.349833,7229.206377,7288.745493,7267.770047,7140.905119,7318.897839,7454.532388,6165.849669,6921.450076
BMU,34870.74775,34955.55828,35990.57811,37749.20837,38518.41744,40763.38661,42317.92417,44753.95873,46678.6018,48664.53995,53921.77368,58484.1524,58138.39981,60908.03971,63578.19228,66239.46679,71656.72358,75627.24753,75193.34639,71022.30785,70627.82219,69998.84342,67453.82052,68993.22749,68775.44674,71873.22806,76362.05141,81834.95587,83368.62255,85129.07046,80273.08171,85192.31929
BOL,2372.064596,2527.451765,2572.77,2689.138111,2815.486223,2947.600406,3069.286123,3211.589815,3343.962821,3339.446538,3433.710745,3502.793542,3578.010881,3678.963876,3864.549149,4088.364241,4339.990861,4581.253662,4873.089266,4985.203837,5167.676741,5460.257058,5921.648907,6624.805923,7056.828365,7133.873145,7499.77274,8423.69756,8862.313088,9092.687044,8283.131195,9030.387681
BRA,6693.592881,6869.44971,6869.479544,7256.80191,7718.427822,8081.973088,8279.147044,8572.718352,8566.5321,8599.588151,9050.494048,9255.634759,9560.575067,9737.27738,10448.31334,10994.30767,11654.82481,12565.2614,13325.47284,13265.78507,14301.12268,15040.06109,15046.29018,15588.72613,15718.56495,14744.11363,14256.16339,14524.61354,15018.6824,15358.08949,14834.1937,16056.01617
BRB,9571.196626,9473.43731,9103.767233,9358.616456,9712.969208,10075.96526,10624.8324,11272.4109,11773.77277,11929.99541,12693.28319,12626.52307,12880.36996,13375.89754,13880.67418,14826.35757,16150.58582,16857.19831,17213.58453,16386.68672,16132.62364,16305.08067,15310.43274,15335.64237,15174.99267,15542.54182,15961.24501,15800.42431,15988.77016,16153.97126,14045.77283,14816.86286
BRN,55853.60521,57882.34411,60279.53696,60183.24629,61700.32943,64118.62406,65516.35069,64120.22035,63030.49498,64440.23903,66363.6504,68312.04123,70662.41315,72781.51242,73829.28067,75250.76151,79857.70173,81111.9517,80113.13536,78278.83177,80288.8249,83935.22572,88245.95835,83788.51089,81371.23087,62540.62522,56297.22671,60994.53156,61831.88885,64718.8325,65607.35075,66619.87094
